van_id,visit_date,outlet_id,lng,lat,created_at
V2XV004,1/7/2023,21104052,100.58711,5.05011,2023-07-01 11:51:15.695 +0800
V2XV004,1/7/2023,21104049,100.58711,5.05011,2023-07-01 11:45:01.255 +0800
V2XV004,1/7/2023,21104045,100.58673,5.05074,2023-07-01 11:30:34.330 +0800
V2XV004,1/7/2023,21104041,100.58659,5.05062,2023-07-01 11:21:13.807 +0800
V2XV004,1/7/2023,21701016,100.54869,5.00355,2023-07-01 10:57:36.395 +0800
V2XV004,1/7/2023,243239,100.54194,5.0104346,2023-07-01 10:49:04.628 +0800
V2XV004,1/7/2023,21701039,100.53661,5.009495,2023-07-01 10:35:24.665 +0800
V2XV004,1/7/2023,21701040,100.53658,5.00983,2023-07-01 10:34:31.037 +0800
V2XV004,1/7/2023,294910,100.53642,5.00991,2023-07-01 10:30:39.182 +0800
V2XV004,1/7/2023,21701037,100.53766,5.00907,2023-07-01 10:24:05.923 +0800
V2XV004,1/7/2023,21701011,100.54022,5.00758,2023-07-01 10:14:20.673 +0800
V2XV004,1/7/2023,672568,100.54334,5.0058,2023-07-01 10:00:46.611 +0800
V2XV005,1/7/2023,814519,100.72904,4.89138,2023-07-01 09:39:32.454 +0800
V2XV005,1/7/2023,21115127,100.71247,4.90921,2023-07-01 09:37:41.172 +0800
V2XV005,1/7/2023,21110145,100.66566,4.98867,2023-07-01 09:35:52.258 +0800
V2XV005,1/7/2023,640262,100.65213,4.96164,2023-07-01 09:34:57.917 +0800
V2XV005,1/7/2023,621542,100.65144,4.96023,2023-07-01 09:34:10.034 +0800
V2XV005,1/7/2023,21104067,100.6511,4.95993,2023-07-01 09:32:43.994 +0800
V2XV005,1/7/2023,818591,100.58169,5.07863,2023-07-01 09:31:52.641 +0800
V2XV005,1/7/2023,21115074,100.66578,4.98445,2023-07-01 09:30:19.758 +0800
V2XV006,1/7/2023,828289,100.79845,4.97485,2023-07-01 14:21:03.011 +0800
V2XV006,1/7/2023,824765,100.81397,4.93553,2023-07-01 14:20:58.484 +0800
V2XV006,1/7/2023,630200,100.79925,4.9757,2023-07-01 14:19:46.262 +0800
V2XV006,1/7/2023,21105047,100.7997,4.97466,2023-07-01 14:19:39.133 +0800
V2XV006,1/7/2023,21105043,100.79838,4.97481,2023-07-01 14:19:32.283 +0800
V2XV006,1/7/2023,21105041,100.79944,4.97502,2023-07-01 14:19:25.296 +0800
V2XV006,1/7/2023,21107127,100.73336,4.95433,2023-07-01 14:19:18.345 +0800
V2XV006,1/7/2023,21105100,100.80039,4.97572,2023-07-01 14:19:09.859 +0800
V2XV006,1/7/2023,21105097,100.80014,4.97592,2023-07-01 14:18:24.677 +0800
V2XV006,1/7/2023,828289,100.79845,4.97485,2023-07-01 14:18:15.236 +0800
V2XV006,1/7/2023,21105058,100.80865,4.95052,2023-07-01 14:18:07.045 +0800
V2XV006,1/7/2023,21107124,100.79136,4.95165,2023-07-01 14:17:22.266 +0800
V2XV006,1/7/2023,21105051,100.79128,4.95193,2023-07-01 14:17:14.983 +0800
V2XV006,1/7/2023,21105046,100.79969,4.97472,2023-07-01 14:16:53.766 +0800
V2XV006,1/7/2023,373902,100.79831,4.97568,2023-07-01 14:16:44.197 +0800
V2XV006,1/7/2023,21105081,100.79832,4.97569,2023-07-01 14:16:35.051 +0800
V2XV006,1/7/2023,21105083,100.79847,4.97559,2023-07-01 14:16:28.533 +0800
V2XV007,1/7/2023,21703103,100.47368,5.06834,2023-07-01 12:34:11.909 +0800
V2XV007,1/7/2023,21703031,100.47336,5.06775,2023-07-01 12:31:45.427 +0800
V2XV007,1/7/2023,21704028,100.43402,5.01828,2023-07-01 12:30:54.764 +0800
V2XV007,1/7/2023,764088,100.47329,5.06807,2023-07-01 12:30:00.680 +0800
V2XV007,1/7/2023,21703040,100.47323,5.06785,2023-07-01 12:18:19.061 +0800
V2XV007,1/7/2023,21703038,100.47382,5.06834,2023-07-01 12:16:31.509 +0800
V2XV007,1/7/2023,21703112,100.47424,5.0693,2023-07-01 12:10:39.892 +0800
V2XV007,1/7/2023,715389,100.47254,5.06698,2023-07-01 12:07:42.991 +0800
V2XV007,1/7/2023,21703045,100.46555,5.05679,2023-07-01 12:01:23.352 +0800
V2XV007,1/7/2023,21703056,100.43402,5.01831,2023-07-01 11:51:31.313 +0800
V2XV007,1/7/2023,21703100,100.43402,5.01828,2023-07-01 11:41:12.174 +0800
V2XV007,1/7/2023,21703078,100.43458,5.01782,2023-07-01 11:38:02.285 +0800
V2XV007,1/7/2023,21702099,100.43402,5.01831,2023-07-01 11:24:29.818 +0800
V2XV007,1/7/2023,21703065,100.43392,5.01832,2023-07-01 11:18:49.366 +0800
V2XV007,1/7/2023,21703063,100.43422,5.01856,2023-07-01 11:17:18.928 +0800
V2XV007,1/7/2023,834663,100.734085,4.8147106,2023-07-01 10:59:28.646 +0800
V2XV007,1/7/2023,21703110,100.43393,5.01832,2023-07-01 10:54:55.269 +0800
V2XV007,1/7/2023,21703054,100.43382,5.0236,2023-07-01 10:52:47.100 +0800
V2XV007,1/7/2023,21703047,100.44049,5.03035,2023-07-01 10:50:56.797 +0800
V2XV007,1/7/2023,21703046,100.44035,5.03035,2023-07-01 10:48:22.454 +0800
V2XV008,1/7/2023,21703028,100.53146,5.01441,2023-07-01 13:16:10.033 +0800
V2XV008,1/7/2023,817010,100.49539,5.02015,2023-07-01 13:02:59.246 +0800
V2XV008,1/7/2023,815967,100.46554,5.02625,2023-07-01 13:02:01.999 +0800
V2XV008,1/7/2023,631801,100.48021,5.02094,2023-07-01 13:01:17.597 +0800
V2XV008,1/7/2023,21703006,100.48319,5.02117,2023-07-01 12:59:46.742 +0800
V2XV008,1/7/2023,21703012,100.53676,5.01003,2023-07-01 12:53:27.580 +0800
V2XV008,1/7/2023,21703010,100.50028,5.01855,2023-07-01 12:52:35.702 +0800
V2XV008,1/7/2023,628845,100.5055,5.01851,2023-07-01 12:42:51.217 +0800
V2XV008,1/7/2023,723828,100.50632,5.01841,2023-07-01 12:40:36.615 +0800
V2XV008,1/7/2023,805982,100.50738,5.01821,2023-07-01 12:30:25.971 +0800
V2XV008,1/7/2023,21703097,100.52246,5.01618,2023-07-01 12:03:30.945 +0800
V2XV008,1/7/2023,818234,100.52993,5.01314,2023-07-01 11:58:08.799 +0800
V2XV008,1/7/2023,21703115,100.53052,5.01274,2023-07-01 11:52:08.666 +0800
V2XV008,1/7/2023,21701095,100.53258,5.01364,2023-07-01 11:14:37.849 +0800
V2XV008,1/7/2023,21701091,100.53419,5.01309,2023-07-01 10:59:21.486 +0800
V2XV008,1/7/2023,21701082,100.5345,5.01176,2023-07-01 10:32:39.103 +0800
V2XV008,1/7/2023,21701093,100.53294,5.01373,2023-07-01 10:22:52.937 +0800
V2XV008,1/7/2023,637721,100.53061,5.01459,2023-07-01 08:50:58.227 +0800
V2XV008,1/7/2023,21701134,100.53395,5.01276,2023-07-01 08:50:01.253 +0800
V2XV009,1/7/2023,306230,100.76139,4.7725,2023-07-01 12:40:49.435 +0800
V2XV009,1/7/2023,21113073,100.72667,4.79086,2023-07-01 12:40:24.711 +0800
V2XV009,1/7/2023,21504064,100.92224,4.7763,2023-07-01 11:53:02.571 +0800
V2XV009,1/7/2023,349220,100.94157,4.7786,2023-07-01 11:49:12.444 +0800
V2XV009,1/7/2023,21504036,100.94178,4.77687,2023-07-01 11:37:07.202 +0800
V2XV009,1/7/2023,822362,100.9415,4.7775,2023-07-01 11:30:13.234 +0800
V2XV009,1/7/2023,21504046,100.94033,4.77973,2023-07-01 11:24:19.717 +0800
V2XV009,1/7/2023,21504049,100.92935,4.78767,2023-07-01 10:51:34.422 +0800
V2XV009,1/7/2023,21504130,100.92932,4.78719,2023-07-01 10:47:23.755 +0800
V2XV009,1/7/2023,644985,100.92838,4.78724,2023-07-01 10:45:08.828 +0800
V2XV009,1/7/2023,21502064,100.92561,4.77257,2023-07-01 10:24:53.150 +0800
V2XV009,1/7/2023,671828,100.92544,4.77253,2023-07-01 10:23:01.805 +0800
